ID,MeetingTotal,CallTotal,EmailTotal
1,11,151,128
2,12,157,154
3,24,83,173
4,9,109,180
5,4,94,41
6,13,49,76
7,3,118,60
8,16,55,152
9,3,60,23
10,18,79,195
11,22,112,166
12,30,71,236
13,8,123,160
14,1,73,17
15,12,59,232
16,21,173,149
17,11,48,11
18,7,79,48
19,13,92,137
20,11,63,139
21,3,48,74
22,4,42,261
23,2,60,32
24,6,177,22
25,20,97,173
26,16,68,165
27,25,45,297
28,15,70,200
29,5,81,265
30,10,129,201
31,16,132,206
32,10,68,143
33,NA,7,6
34,28,123,290
35,18,71,190
36,2,59,148
37,10,86,283
38,22,84,134
39,16,80,141
40,26,79,276
41,8,45,93
42,25,63,539
43,5,91,129
44,NA,10,1
45,17,153,187
46,8,58,196
47,25,61,241
48,20,98,189
49,35,145,143
50,15,82,171
51,15,146,375
52,45,36,264
53,6,85,86
54,30,71,378
55,32,119,157
56,39,60,283
57,NA,31,42
58,23,48,336
59,17,41,262
60,8,19,80
61,1,59,17
62,24,82,171
63,21,74,184
64,6,78,220
65,15,98,129
66,8,15,264
67,37,92,270
68,29,135,240
69,NA,6,1
70,28,106,321
71,33,39,506
